epoch,auc,binary_accuracy,learning_rate,loss,val_auc,val_binary_accuracy,val_loss
0,0.7759543657302856,0.8235507011413574,0.0010000000474974513,0.09538041800260544,0.861301600933075,0.8640403747558594,0.036425117403268814
1,0.8588465452194214,0.847892701625824,0.0010000000474974513,0.06861867010593414,0.8685337901115417,0.8631240725517273,0.032847218215465546
2,0.8794460296630859,0.8562180399894714,0.0010000000474974513,0.06349048763513565,0.8944857716560364,0.8658727407455444,0.029548844322562218
3,0.8903852701187134,0.8600993156433105,0.0010000000474974513,0.06119008734822273,0.8985805511474609,0.8762252926826477,0.02911580540239811
4,0.9001795053482056,0.8652771711349487,0.0010000000474974513,0.05875146761536598,0.8983572125434875,0.8525881767272949,0.0278974287211895
5,0.9020635485649109,0.8682167530059814,0.0010000000474974513,0.05808553472161293,0.9032480120658875,0.8751260042190552,0.030407359823584557
6,0.9093112945556641,0.8708235025405884,0.0010000000474974513,0.056496214121580124,0.8997123837471008,0.8712781071662903,0.030729617923498154
7,0.9120424389839172,0.8734183311462402,0.0010000000474974513,0.055670760571956635,0.9065477252006531,0.8776912093162537,0.030438439920544624
8,0.915270984172821,0.874049186706543,0.0010000000474974513,0.05487232282757759,0.9030545949935913,0.8727439045906067,0.027941599488258362
9,0.9206402897834778,0.8792051672935486,0.0010000000474974513,0.0534539520740509,0.9102622866630554,0.8895097970962524,0.028594080358743668
10,0.9311071634292603,0.886439323425293,0.0005000000237487257,0.05031733959913254,0.9095161557197571,0.8706367015838623,0.028475141152739525
11,0.9338224530220032,0.8883452415466309,0.0005000000237487257,0.04945904761552811,0.9167459607124329,0.8792489171028137,0.02631133794784546
12,0.938858151435852,0.8920660018920898,0.0005000000237487257,0.04815344139933586,0.9147279858589172,0.8858451247215271,0.02810346521437168
13,0.9398910403251648,0.8928228616714478,0.0005000000237487257,0.047502003610134125,0.9119409322738647,0.8890518546104431,0.03157413378357887
14,0.943368136882782,0.8972325921058655,0.0005000000237487257,0.04637253284454346,0.9125030636787415,0.8828218579292297,0.02757505513727665
15,0.9472063183784485,0.8981972336769104,0.0005000000237487257,0.04515473172068596,0.9140224456787109,0.8841044306755066,0.0286893080919981
16,0.9511213302612305,0.9026521444320679,0.0005000000237487257,0.04375426843762398,0.9109947085380554,0.8826384544372559,0.027976037934422493
17,0.9610391855239868,0.9124354720115662,0.0002500000118743628,0.039685484021902084,0.913083553314209,0.8876774311065674,0.027735887095332146
18,0.9653152227401733,0.9169368743896484,0.0002500000118743628,0.03764130175113678,0.9081802368164062,0.8883187770843506,0.031923554837703705
19,0.9683141708374023,0.919956386089325,0.0002500000118743628,0.03613211587071419,0.9122679829597473,0.8841046094894409,0.03214389830827713
20,0.9709573984146118,0.9235849976539612,0.0002500000118743628,0.03478635847568512,0.9103659391403198,0.8852954506874084,0.03229522332549095
21,0.974179744720459,0.929406464099884,0.0002500000118743628,0.03278645873069763,0.9010451436042786,0.8788822293281555,0.0334036648273468
